"","site_full","type","geog","subclass","family_x","genus_x","species_x","sp_code","common"
"57","Dume Cove","MPA",7,"Actinopterygii","Kyphosidae","Kyphosus","azureus","KYAZ","Zebra perch"
"58","Dume Cove","MPA",7,"Actinopterygii","Labridae","Semicossyphus","pulcher","SEPU","California sheephead"
"59","Dume Cove","MPA",7,"Elasmobranchii","Myliobatidae","Myliobatis","californica","MYCA","Bat ray"
"60","Dume Cove","MPA",7,"Actinopterygii","Serranidae","Paralabrax","clathratus","PACL","Kelp bass"
"61","Dume Cove","MPA",7,"Elasmobranchii","Triakidae","Triakis","semifasciata","TRSE","Leopard shark"
"62","Dume Cove","MPA",7,"Actinopterygii","Embiotocidae","Embiotoca","jacksoni","EMJA","Black perch"
"63","Dume Cove","MPA",7,"Actinopterygii","Atherinopsidae","","","ATHE","Unknown Silverside"
"64","Dume Cove","MPA",7,"Actinopterygii","Labridae","Halichoeres","semicinctus","HASE","Rock wrasse"
"65","Dume Cove","MPA",7,"Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish"
"66","Dume Cove","MPA",7,"Actinopterygii","Embiotocidae","Hyperprosopon","argenteum","HYAR","Walleye surfperch"
"67","Dume Cove","MPA",7,"Actinopterygii","Sciaenidae","Umbrina","roncador","UMRO","Yellowfin croaker"
"68","Dume Cove","MPA",7,"Actinopterygii","Embiotocidae","Rhacochilus","vacca","RHVA","Pile perch"
"69","Dume Cove","MPA",7,"Actinopterygii","Kyphosidae","Medialuna","californiensis","MECA","Halfmoon"
"70","Dume Cove","MPA",7,"Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab"
"71","Dume Cove","MPA",7,"Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish"
"72","Dume Cove","MPA",7,"Actinopterygii","Kyphosidae","Girella","nigricans","GINI","Opaleye"
"73","Leo Carrillo","Reference",8,"Actinopterygii","Atherinopsidae","Atherinops","affinis","ATAF","Topsmelt"
"74","Leo Carrillo","Reference",8,"Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish"
"75","Leo Carrillo","Reference",8,"Actinopterygii","Embiotocidae","Hyperprosopon","argenteum","HYAR","Walleye surfperch"
"76","Leo Carrillo","Reference",8,"Elasmobranchii","Myliobatidae","Myliobatis","californica","MYCA","Bat ray"
"77","Leo Carrillo","Reference",8,"Elasmobranchii","Triakidae","Triakis","semifasciata","TRSE","Leopard shark"
"78","Leo Carrillo","Reference",8,"Actinopterygii","Atherinopsidae","","","ATHE","Unknown Silverside"
"79","Leo Carrillo","Reference",8,"Actinopterygii","Embiotocidae","Amphistichus","argenteus","AMAR","Barred surfperch"
"80","Leo Carrillo","Reference",8,"Actinopterygii","Sciaenidae","Umbrina","roncador","UMRO","Yellowfin croaker"
"81","Leo Carrillo","Reference",8,"Elasmobranchii","Heterodontidae","Heterodontus","francisci","HEFR","Horn shark"
"82","Leo Carrillo","Reference",8,"Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish"
"83","Leo Carrillo","Reference",8,"Actinopterygii","Sciaenidae","Menticirrhus","undulatus","MEUN","California corbina"
"84","Leo Carrillo","Reference",8,"Elasmobranchii","Urotrygonidae","Urobatis","halleri","URHA","Round stingray"
"85","Sleepy Hollow","MPA",9,"Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish"
"86","Sleepy Hollow","MPA",9,"Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish"
"87","Sleepy Hollow","MPA",9,"Actinopterygii","Sciaenidae","Menticirrhus","undulatus","MEUN","California corbina"
"88","Sleepy Hollow","MPA",9,"Elasmobranchii","Urotrygonidae","Urobatis","halleri","URHA","Round stingray"
"89","Sleepy Hollow","MPA",9,"Actinopterygii","Sciaenidae","Umbrina","roncador","UMRO","Yellowfin croaker"
"90","Sleepy Hollow","MPA",9,"Actinopterygii","Serranidae","Paralabrax","clathratus","PACL","Kelp bass"
"91","Sleepy Hollow","MPA",9,"Elasmobranchii","Triakidae","Triakis","semifasciata","TRSE","Leopard shark"
"92","Sleepy Hollow","MPA",9,"Actinopterygii","Sciaenidae","Roncador","stearnsii","ROST","Spotfin croaker"
"93","Sleepy Hollow","MPA",9,"Elasmobranchii","Myliobatidae","Myliobatis","californica","MYCA","Bat ray"
"94","Sleepy Hollow","MPA",9,"Actinopterygii","Serranidae","Paralabrax","nebulifer","PANE","Barred sand bass"
"95","Sleepy Hollow","MPA",9,"Actinopterygii","Embiotocidae","Embiotoca","jacksoni","EMJA","Black perch"
"96","Sleepy Hollow","MPA",9,"Actinopterygii","Haemulidae","Anisotremus","davidsonii","ANDA","Sargo"
"97","Sleepy Hollow","MPA",9,"Actinopterygii","Kyphosidae","Girella","nigricans","GINI","Opaleye"
"98","Sleepy Hollow","MPA",9,"Actinopterygii","Kyphosidae","Kyphosus","azureus","KYAZ","Zebra perch"
"99","Sleepy Hollow","MPA",9,"Actinopterygii","Labridae","Halichoeres","semicinctus","HASE","Rock wrasse"
"100","Sleepy Hollow","MPA",9,"Actinopterygii","Labridae","Semicossyphus","pulcher","SEPU","California sheephead"
"101","Sleepy Hollow","MPA",9,"Actinopterygii","Muraenidae","Gymnothorax","mordax","GYMO","California moray"
"102","Sleepy Hollow","MPA",9,"Actinopterygii","Sciaenidae","Seriphus","politus","SEPO","Queenfish"
"103","Sleepy Hollow","MPA",9,"Actinopterygii","Atherinopsidae","","","ATHE","Unknown Silverside"
"104","Sleepy Hollow","MPA",9,"Actinopterygii","Paralichthyidae","Citharichthys","sordidus","CISO","Pacific sanddab"
"105","Sleepy Hollow","MPA",9,"Actinopterygii","Kyphosidae","Medialuna","californiensis","MECA","Halfmoon"
"106","Sleepy Hollow","MPA",9,"Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab"
"107","Strands","Reference",10,"Elasmobranchii","Myliobatidae","Myliobatis","californica","MYCA","Bat ray"
"108","Strands","Reference",10,"Elasmobranchii","Triakidae","Triakis","semifasciata","TRSE","Leopard shark"
"109","Strands","Reference",10,"Actinopterygii","Serranidae","Paralabrax","clathratus","PACL","Kelp bass"
"110","Strands","Reference",10,"Actinopterygii","Kyphosidae","Hermosilla","azurea","KYAZ","Zebra perch"
"111","Strands","Reference",10,"Actinopterygii","Sciaenidae","Atractoscion","nobilis","ATNO","White seabass"
"112","Strands","Reference",10,"Actinopterygii","Sciaenidae","Menticirrhus","undulatus","MEUN","California corbina"
"113","Strands","Reference",10,"Actinopterygii","Sciaenidae","Roncador","stearnsii","ROST","Spotfin croaker"
"114","Strands","Reference",10,"Actinopterygii","Sciaenidae","Umbrina","roncador","UMRO","Yellowfin croaker"
"115","Strands","Reference",10,"Elasmobranchii","Urotrygonidae","Urobatis","halleri","URHA","Round stingray"
"116","Strands","Reference",10,"Actinopterygii","Atherinopsidae","","","ATHE","Unknown Silverside"
"117","Strands","Reference",10,"Actinopterygii","Kyphosidae","Girella","nigricans","GINI","Opaleye"
"118","Strands","Reference",10,"Actinopterygii","Labridae","Semicossyphus","pulcher","SEPU","California sheephead"
"119","Strands","Reference",10,"Actinopterygii","Serranidae","Paralabrax","nebulifer","PANE","Barred sand bass"
"120","Strands","Reference",10,"Actinopterygii","Atherinopsidae","Atherinops","affinis","ATAF","Topsmelt"
"121","Scripps","MPA",11,"Actinopterygii","Atherinopsidae","Atherinops","affinis","ATAF","Topsmelt"
"122","Scripps","MPA",11,"Elasmobranchii","Myliobatidae","Myliobatis","californica","MYCA","Bat ray"
"123","Scripps","MPA",11,"Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish"
"124","Scripps","MPA",11,"Actinopterygii","Sciaenidae","Umbrina","roncador","UMRO","Yellowfin croaker"
"125","Scripps","MPA",11,"Elasmobranchii","Urotrygonidae","Urobatis","halleri","URHA","Round stingray"
"126","Scripps","MPA",11,"Actinopterygii","Atherinopsidae","","","ATHE","Unknown Silverside"
"127","Scripps","MPA",11,"Elasmobranchii","Triakidae","Triakis","semifasciata","TRSE","Leopard shark"
"128","Scripps","MPA",11,"Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish"
"129","Scripps","MPA",11,"Actinopterygii","Sciaenidae","Menticirrhus","undulatus","MEUN","California corbina"
"130","Scripps","MPA",11,"Actinopterygii","Haemulidae","Anisotremus","davidsonii","ANDA","Sargo"
"131","Scripps","MPA",11,"Elasmobranchii","Dasyatidae","Dasyatis","dipterura","DADI","Diamond stingray"
"132","Scripps","MPA",11,"Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab"
"133","San Elijo","Reference",12,"Actinopterygii","Haemulidae","Anisotremus","davidsonii","ANDA","Sargo"
"134","San Elijo","Reference",12,"Actinopterygii","Sciaenidae","Umbrina","roncador","UMRO","Yellowfin croaker"
"135","San Elijo","Reference",12,"Elasmobranchii","Triakidae","Mustelus","californicus","MUCA","Grey smooth-hound"
"136","San Elijo","Reference",12,"Elasmobranchii","Triakidae","Triakis","semifasciata","TRSE","Leopard shark"
"137","San Elijo","Reference",12,"Elasmobranchii","Urotrygonidae","Urobatis","halleri","URHA","Round stingray"
"138","San Elijo","Reference",12,"Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish"
"139","San Elijo","Reference",12,"Actinopterygii","Sciaenidae","Roncador","stearnsii","ROST","Spotfin croaker"
"140","San Elijo","Reference",12,"Actinopterygii","Atherinopsidae","","","ATHE","Unknown Silverside"
"141","San Elijo","Reference",12,"Actinopterygii","Embiotocidae","Hyperprosopon","argenteum","HYAR","Walleye surfperch"
"142","San Elijo","Reference",12,"Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish"
"143","San Elijo","Reference",12,"Elasmobranchii","Myliobatidae","Myliobatis","californica","MYCA","Bat ray"
"144","San Elijo","Reference",12,"Actinopterygii","Labridae","Halichoeres","semicinctus","HASE","Rock wrasse"
"145","San Elijo","Reference",12,"Actinopterygii","Sciaenidae","Menticirrhus","undulatus","MEUN","California corbina"
"146","San Elijo","Reference",12,"Actinopterygii","Sciaenidae","Seriphus","politus","SEPO","Queenfish"
"147","San Elijo","Reference",12,"Actinopterygii","Serranidae","Paralabrax","nebulifer","PANE","Barred sand bass"
