"","op_code","site_full","site_code","type","geog","date","day","month","year","bruv","period_time_hms","time","minute","second","visibility","habitat","subclass","family","scientific_name","genus","species","common","code","sp_code","number","comment_1","x_6","five_min","ten_min"
"22","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:07:34.95",7M 34.95S,7,34.95,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",10,10
"23","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:09:18.32",9M 18.32S,9,18.32,">1m","100% S","Actinopterygii","Atherinopsidae","Atherinops affinis","Atherinops","affinis","Topsmelt",1,"ATAF",1,"","",10,10
"24","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:09:18.32",9M 18.32S,9,18.32,">1m","100% S","Actinopterygii","Atherinopsidae","Atherinops affinis","Atherinops","affinis","Topsmelt",1,"ATAF",1,"","",10,10
"25","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:09:18.32",9M 18.32S,9,18.32,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",10,10
"26","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:09:18.32",9M 18.32S,9,18.32,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",10,10
"27","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:09:18.32",9M 18.32S,9,18.32,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",10,10
"28","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:10:00.45",10M 0.45S,10,0.45,">1m","100% S","Elasmobranchii","Platyrhinidae","Platyrhinoidis triserata","Platyrhinoidis","triserata","Thornback guitarfish",39,"PLTR",1,"","",15,20
"29","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:10:05.84",10M 5.84S,10,5.84,">1m","100% S","Elasmobranchii","Platyrhinidae","Platyrhinoidis triserata","Platyrhinoidis","triserata","Thornback guitarfish",39,"PLTR",1,"","",15,20
"30","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:10:05.84",10M 5.84S,10,5.84,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",15,20
"31","PERC_23Jul19_bruv1","Percos","PERC","MPA",3,2019-07-23,23,7,2019,"1","00:10:05.84",10M 5.84S,10,5.84,">1m","100% S","Actinopterygii","Paralichthyidae","Citharichthys stigmaeus","Citharichthys","stigmaeus","Speckled sanddab",20,"CIST",1,"","",15,20
