"","site_code","op_code","date","day","month","year","bruv","subclass","family.x","genus.x","species.x","sp_code","common","max_n","MPA","site_full","geog","type"
"34","PERC","PERC_04Sep19_bruv6",2019-09-04,4,9,2019,"6","Elasmobranchii","Platyrhinidae","Platyrhinoidis","triserata","PLTR","Thornback guitarfish",2,1,"Percos",3,"MPA"
"35","PERC","PERC_04Sep19_bruv6",2019-09-04,4,9,2019,"6","Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish",2,1,"Percos",3,"MPA"
"36","PERC","PERC_04Sep19_bruv6",2019-09-04,4,9,2019,"6","Actinopterygii","Sciaenidae","Menticirrhus","undulatus","MEUN","California corbina",5,1,"Percos",3,"MPA"
"37","PERC","PERC_04Sep19_bruv6",2019-09-04,4,9,2019,"6","Elasmobranchii","Triakidae","Triakis","semifasciata","TRSE","Leopard shark",1,1,"Percos",3,"MPA"
"38","PERC","PERC_13Oct19_bruv1",2019-10-13,13,10,2019,"1","Actinopterygii","Atherinopsidae","Atherinops","affinis","ATAF","Topsmelt",3,1,"Percos",3,"MPA"
"39","PERC","PERC_13Oct19_bruv1",2019-10-13,13,10,2019,"1",NA,"Cancridae","Cancer","sp",NA,NA,8,1,"Percos",3,"MPA"
"40","PERC","PERC_13Oct19_bruv1",2019-10-13,13,10,2019,"1",NA,"Nassariidae","Nassarius","sp",NA,NA,4,1,"Percos",3,"MPA"
"41","PERC","PERC_13Oct19_bruv1",2019-10-13,13,10,2019,"1","Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab",2,1,"Percos",3,"MPA"
"42","PERC","PERC_13Oct19_bruv3",2019-10-13,13,10,2019,"3",NA,"Cancridae","Cancer","sp",NA,NA,3,1,"Percos",3,"MPA"
"43","PERC","PERC_13Oct19_bruv3",2019-10-13,13,10,2019,"3","Actinopterygii","Embiotocidae","Amphistichus","argenteus","AMAR","Barred surfperch",46,1,"Percos",3,"MPA"
"44","PERC","PERC_13Oct19_bruv3",2019-10-13,13,10,2019,"3",NA,"Nassariidae","Nassarius","sp",NA,NA,2,1,"Percos",3,"MPA"
"45","PERC","PERC_13Oct19_bruv3",2019-10-13,13,10,2019,"3","Invertebrate","Olividae","Callianax","biplicata","CABI","Purple olive shell",1,1,"Percos",3,"MPA"
"46","PERC","PERC_13Oct19_bruv3",2019-10-13,13,10,2019,"3","Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab",2,1,"Percos",3,"MPA"
"47","PERC","PERC_13Oct19_bruv6",2019-10-13,13,10,2019,"6",NA,"Embiotocidae","","",NA,NA,1,1,"Percos",3,"MPA"
"48","PERC","PERC_13Oct19_bruv6",2019-10-13,13,10,2019,"6",NA,"Embiotocidae","Amphistichus","",NA,NA,6,1,"Percos",3,"MPA"
"49","PERC","PERC_13Oct19_bruv6",2019-10-13,13,10,2019,"6","Actinopterygii","Embiotocidae","Amphistichus","argenteus","AMAR","Barred surfperch",5,1,"Percos",3,"MPA"
"50","PERC","PERC_13Oct19_bruv6",2019-10-13,13,10,2019,"6","Actinopterygii","Embiotocidae","Amphistichus","koelzi","AMKO","Calico surfperch",2,1,"Percos",3,"MPA"
"51","PERC","PERC_13Oct19_bruv6",2019-10-13,13,10,2019,"6","Actinopterygii","Embiotocidae","Hyperprosopon","argenteum","HYAR","Walleye surfperch",145,1,"Percos",3,"MPA"
"52","PERC","PERC_13Oct19_bruv6",2019-10-13,13,10,2019,"6","Elasmobranchii","Myliobatidae","Myliobatis","californica","MYCA","Bat ray",1,1,"Percos",3,"MPA"
"53","PERC","PERC_13Oct19_bruv6",2019-10-13,13,10,2019,"6","Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab",4,1,"Percos",3,"MPA"
"54","PERC","PERC_13Oct19_bruv6",2019-10-13,13,10,2019,"6","Elasmobranchii","Rhinobatidae","Rhinobatos","productus","RHPR","Shovelnose guitarfish",2,1,"Percos",3,"MPA"
"55","REFU","REFU_22Jul19_bruv1",2019-07-22,22,7,2019,"1","Actinopterygii","Atherinopsidae","Atherinops","affinis","ATAF","Topsmelt",5,0,"Refugio",4,"Reference"
"56","REFU","REFU_22Jul19_bruv1",2019-07-22,22,7,2019,"1","Invertebrate","Cancridae","Cancer","","CANC","Crab",1,0,"Refugio",4,"Reference"
"57","REFU","REFU_22Jul19_bruv1",2019-07-22,22,7,2019,"1","Invertebrate","Olividae","Callianax","biplicata","CABI","Purple olive shell",5,0,"Refugio",4,"Reference"
"58","REFU","REFU_22Jul19_bruv1",2019-07-22,22,7,2019,"1",NA,"Paralichthyidae","","",NA,NA,1,0,"Refugio",4,"Reference"
"59","REFU","REFU_22Jul19_bruv1",2019-07-22,22,7,2019,"1","Actinopterygii","Paralichthyidae","Citharichthys","stigmaeus","CIST","Speckled sanddab",2,0,"Refugio",4,"Reference"
