Dot Point Measurements

Generated: Thursday, February 27, 2020 15:57:43

Filename	Frame	Time (HMS)	Period	Period time (HMS)	Image row	Image col	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	Number	Stage	Activity	Comment		
PODU_20Aug19_bruv1_GOPR0073.MP4	  46638	00:12:58.08	DUCO_20Aug19_bruv1_data	00:02:58.06	418	1030	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing	id check?	background	
PODU_20Aug19_bruv1_GOPR0073.MP4	  46638	00:12:58.08	DUCO_20Aug19_bruv1_data	00:02:58.06	462	1321	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing	id check?	background	
PODU_20Aug19_bruv1_GOPR0073.MP4	  46638	00:12:58.08	DUCO_20Aug19_bruv1_data	00:02:58.06	481	1758	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing	id check?	background	
PODU_20Aug19_bruv1_GOPR0073.MP4	  50456	00:14:01.77	DUCO_20Aug19_bruv1_data	00:04:01.76	556	173	DUCO_20Aug19_bruv1	Jessica Madden											Haemulidae	Anisotremus	davidsonii	15	1	AD	Passing			
PODU_20Aug19_bruv1_GOPR0073.MP4	  50456	00:14:01.77	DUCO_20Aug19_bruv1_data	00:04:01.76	413	1601	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GOPR0073.MP4	  50456	00:14:01.77	DUCO_20Aug19_bruv1_data	00:04:01.76	511	1608	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GOPR0073.MP4	  50456	00:14:01.77	DUCO_20Aug19_bruv1_data	00:04:01.76	465	1234	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GOPR0073.MP4	  50456	00:14:01.77	DUCO_20Aug19_bruv1_data	00:04:01.76	579	446	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GOPR0073.MP4	  50456	00:14:01.77	DUCO_20Aug19_bruv1_data	00:04:01.76	554	651	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GOPR0073.MP4	  54290	00:15:05.74	DUCO_20Aug19_bruv1_data	00:05:05.72	405	1708	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GOPR0073.MP4	  54290	00:15:05.74	DUCO_20Aug19_bruv1_data	00:05:05.72	545	640	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GOPR0073.MP4	  54290	00:15:05.74	DUCO_20Aug19_bruv1_data	00:05:05.72	483	169	DUCO_20Aug19_bruv1	Jessica Madden											Haemulidae	Anisotremus	davidsonii	15	1	AD	Passing			
PODU_20Aug19_bruv1_GOPR0073.MP4	  54290	00:15:05.74	DUCO_20Aug19_bruv1_data	00:05:05.72	765	1727	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GOPR0073.MP4	  59931	00:16:39.85	DUCO_20Aug19_bruv1_data	00:06:39.83	517	1815	DUCO_20Aug19_bruv1	Jessica Madden											Haemulidae	Anisotremus	davidsonii	15	1	AD	Passing			
PODU_20Aug19_bruv1_GOPR0073.MP4	  59931	00:16:39.85	DUCO_20Aug19_bruv1_data	00:06:39.83	463	1597	DUCO_20Aug19_bruv1	Jessica Madden											Haemulidae	Anisotremus	davidsonii	15	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  18833	00:22:56.26	DUCO_20Aug19_bruv1_data	00:12:56.24	155	168	DUCO_20Aug19_bruv1	Jessica Madden															1	AD	Passing	unidentified fish - zebra perch?	background	
PODU_20Aug19_bruv1_GP010073.MP4	  18833	00:22:56.26	DUCO_20Aug19_bruv1_data	00:12:56.24	597	45	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  18833	00:22:56.26	DUCO_20Aug19_bruv1_data	00:12:56.24	430	1029	DUCO_20Aug19_bruv1	Jessica Madden											Serranidae	Paralabrax	clathratus	44	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20545	00:23:24.82	DUCO_20Aug19_bruv1_data	00:13:24.80	314	1790	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20545	00:23:24.82	DUCO_20Aug19_bruv1_data	00:13:24.80	487	1506	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20545	00:23:24.82	DUCO_20Aug19_bruv1_data	00:13:24.80	428	870	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
PODU_20Aug19_bruv1_GP010073.MP4	  20545	00:23:24.82	DUCO_20Aug19_bruv1_data	00:13:24.80	346	893	DUCO_20Aug19_bruv1	Jessica Madden											Kyphosidae	Kyphosus	azureus	18	1	AD	Passing			
